Name,Hangzhou,Huzhou,Jiaxing,Jinhua,Lishui,Ningbo,Shaoxing,Taizhou,Wenzhou
N_823,0.998229173,0.000458515,8.05E-05,7.20E-05,0.000394234,0.000134562,0.000395587,0.000103505,0.000131975
N_25,1,2.52E-20,2.46E-25,3.45E-26,1.17E-20,1.36E-23,1.40E-20,8.59E-25,1.44E-24
SRR14852169.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852214.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852567.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862497.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862602.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862618.result.fasta,1,0,0,0,0,0,0,0,0
N_15,0.999999697,1.00E-07,4.39E-09,2.91E-09,8.62E-08,1.25E-08,8.19E-08,6.61E-09,8.42E-09
SRR14852288.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852569.result.fasta,1,0,0,0,0,0,0,0,0
N_20,1,5.68E-12,2.08E-14,8.60E-15,4.14E-12,1.44E-13,4.10E-12,4.03E-14,5.47E-14
SRR14852564.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852568.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862486.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862601.result.fasta,1,0,0,0,0,0,0,0,0
N_10,1,5.76E-18,5.20E-22,1.07E-22,3.28E-18,1.34E-20,3.48E-18,1.47E-21,2.21E-21
SRR14852286.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852215.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862511.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852570.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862597.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852158.result.fasta,1,0,0,0,0,0,0,0,0
SRR14852566.result.fasta,1,0,0,0,0,0,0,0,0
N_822,0.999954603,3.36E-05,4.19E-08,3.44E-08,7.92E-07,7.77E-08,9.78E-06,9.82E-07,6.47E-08
N_821,0.999625959,3.84E-05,3.54E-06,6.77E-06,3.22E-05,7.01E-06,2.85E-05,0.00025318,4.43E-06
N_820,0.999996965,9.26E-07,4.35E-08,3.60E-08,7.80E-07,1.18E-07,7.50E-07,3.03E-07,8.00E-08
SRR14852211.result.fasta,1,0,0,0,0,0,0,0,0
SRR14862558.result.fasta,1,0,0,0,0,0,0,0,0
N_817,0.978737368,0.000348504,4.83E-05,0.000118668,0.000335078,8.79E-05,0.000264286,0.020008177,5.17E-05
SRR14852444.result.fasta,1,0,0,0,0,0,0,0,0
N_815,0.062960681,0.000872258,0.00035564,0.002065157,0.000940498,0.000433573,0.000630265,0.931497814,0.000244114
HD0028237-ZZM20230069.result.fasta,0,0,0,0,0,0,0,1,0
HD0028249-ZZM20230082.result.fasta,0,0,0,0,0,0,0,1,0
N_812,0.873352484,0.092929907,9.63E-05,0.00013398,0.000584704,8.93E-05,0.027621613,0.005096107,9.56E-05
SRR14852437.result.fasta,1,0,0,0,0,0,0,0,0
N_803,0.00933015,0.990141609,4.50E-05,3.16E-05,8.82E-05,1.50E-05,0.000224719,8.50E-05,3.87E-05
HD0028209-ZZM20230039.result.fasta,0,1,0,0,0,0,0,0,0
ZZM2023-35.result.fasta,0,1,0,0,0,0,0,0,0
N_810,0.202995426,0.032750337,0.001177801,0.003177825,0.00238288,0.001194492,0.544734129,0.210582147,0.001004962
N_806,0.004871692,0.002244956,0.000329373,0.002175443,0.000488472,0.000298453,0.02954511,0.959847359,0.000199143
HD0028235-ZZM20230067.result.fasta,0,0,0,0,0,0,0,1,0
HD0028244-ZZM20230077.result.fasta,0,0,0,0,0,0,0,1,0
N_809,0.006014898,0.00073015,6.10E-05,0.00015242,8.23E-05,5.35E-05,0.987358613,0.005492541,5.47E-05
HD0028299-ZZM2023397.result.fasta,0,0,0,0,0,0,1,0,0
HD0028307-ZZM2023405.result.fasta,0,0,0,0,0,0,1,0,0
